"sample_a","sample_b","block_a","block_b","condition_a","condition_b","same_analysis_unit","pearson_vst"
"ctrl12-3","ctrl3-2","68_3__batch2","68_3__batch1","control","control",FALSE,0.988208229039938
"ctrl12-3","trt31-1","68_3__batch2","69_2__batch1","control","psilocin_day3",FALSE,0.975519895443463
"ctrl12-3","trt31-2","68_3__batch2","68_3__batch1","control","psilocin_day3",FALSE,0.987414950554698
"ctrl12-3","trt311-3","68_3__batch2","68_3__batch2","control","psilocin_day3",FALSE,0.987977888032323
"ctrl12-3","trt312-3","68_3__batch2","68_3__batch2","control","psilocin_day3",FALSE,0.987264740559428
"ctrl12-3","trt32-1","68_3__batch2","69_2__batch1","control","psilocin_day3",FALSE,0.975818637353331
"ctrl12-3","trt32-2","68_3__batch2","68_3__batch1","control","psilocin_day3",FALSE,0.986202400922303
"ctrl12-3","trt33-1","68_3__batch2","69_2__batch1","control","psilocin_day3",FALSE,0.977220091640862
"ctrl12-3","trt33-2","68_3__batch2","68_3__batch1","control","psilocin_day3",FALSE,0.987406524404552
"ctrl12-3","trt51-3","68_3__batch2","68_3__batch2","control","psilocin_day1",FALSE,0.986556559430553
"ctrl12-3","trt511-2","68_3__batch2","68_3__batch1","control","psilocin_day1",FALSE,0.984300552226931
"ctrl12-3","trt511-4","68_3__batch2","69_2__batch1","control","psilocin_day1",FALSE,0.959638892290804
"ctrl12-3","trt512-2","68_3__batch2","68_3__batch1","control","psilocin_day1",FALSE,0.985741018751648
"ctrl12-3","trt512-4","68_3__batch2","69_2__batch1","control","psilocin_day1",FALSE,0.957236527159442
"ctrl12-3","trt52-1","68_3__batch2","69_2__batch1","control","psilocin_day1",FALSE,0.972377527572814
"ctrl12-3","trt52-2","68_3__batch2","68_3__batch1","control","psilocin_day1",FALSE,0.977053937756869
"ctrl2-1","ctrl2-2","69_2__batch1","68_3__batch1","control","control",FALSE,0.962826496283211
"ctrl2-1","ctrl3-1","69_2__batch1","69_2__batch1","control","control",TRUE,0.99047557171839
"ctrl2-1","ctrl3-2","69_2__batch1","68_3__batch1","control","control",FALSE,0.973073058547481
"ctrl2-1","trt31-1","69_2__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.990805285876596
"ctrl2-1","trt31-2","69_2__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.974586232976871
"ctrl2-1","trt311-3","69_2__batch1","68_3__batch2","control","psilocin_day3",FALSE,0.975903602337243
"ctrl2-1","trt312-3","69_2__batch1","68_3__batch2","control","psilocin_day3",FALSE,0.975833591181944
"ctrl2-1","trt32-1","69_2__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.990867253132153
"ctrl2-1","trt32-2","69_2__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.973206660027503
"ctrl2-1","trt33-1","69_2__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.992000358458114
"ctrl2-1","trt33-2","69_2__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.974366112877965
"ctrl2-1","trt51-3","69_2__batch1","68_3__batch2","control","psilocin_day1",FALSE,0.974311641434934
"ctrl2-1","trt511-2","69_2__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.972680875725016
"ctrl2-1","trt511-4","69_2__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.975110604152019
"ctrl2-1","trt512-2","69_2__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.973909073732939
"ctrl2-1","trt512-4","69_2__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.972680308815252
"ctrl2-1","trt52-1","69_2__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.987586832844859
"ctrl2-1","trt52-2","69_2__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.964629050931867
"ctrl2-2","ctrl3-1","68_3__batch1","69_2__batch1","control","control",FALSE,0.967480606373711
"ctrl2-2","ctrl3-2","68_3__batch1","68_3__batch1","control","control",TRUE,0.988270280536947
"ctrl2-2","trt31-1","68_3__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.967667529723007
"ctrl2-2","trt31-2","68_3__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.985832877989539
"ctrl2-2","trt311-3","68_3__batch1","68_3__batch2","control","psilocin_day3",FALSE,0.975480943798887
"ctrl2-2","trt312-3","68_3__batch1","68_3__batch2","control","psilocin_day3",FALSE,0.96881288545344
"ctrl2-2","trt32-1","68_3__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.965818482877613
"ctrl2-2","trt32-2","68_3__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.972338905967335
"ctrl2-2","trt33-1","68_3__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.965322012036308
"ctrl2-2","trt33-2","68_3__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.97992945095123
"ctrl2-2","trt51-3","68_3__batch1","68_3__batch2","control","psilocin_day1",FALSE,0.969354223221887
"ctrl2-2","trt511-2","68_3__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.981670360285092
"ctrl2-2","trt511-4","68_3__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.924964870015459
"ctrl2-2","trt512-2","68_3__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.977029240660191
"ctrl2-2","trt512-4","68_3__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.920745789586436
"ctrl2-2","trt52-1","68_3__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.969889677807083
"ctrl2-2","trt52-2","68_3__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.975986400185548
"ctrl3-1","ctrl3-2","69_2__batch1","68_3__batch1","control","control",FALSE,0.976615088863141
"ctrl3-1","trt31-1","69_2__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.991600701718467
"ctrl3-1","trt31-2","69_2__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.974022382050122
"ctrl3-1","trt311-3","69_2__batch1","68_3__batch2","control","psilocin_day3",FALSE,0.975536221008056
"ctrl3-1","trt312-3","69_2__batch1","68_3__batch2","control","psilocin_day3",FALSE,0.971899668525045
"ctrl3-1","trt32-1","69_2__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.990963974350433
"ctrl3-1","trt32-2","69_2__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.972510007653052
"ctrl3-1","trt33-1","69_2__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.991887977231553
"ctrl3-1","trt33-2","69_2__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.975884809403101
"ctrl3-1","trt51-3","69_2__batch1","68_3__batch2","control","psilocin_day1",FALSE,0.972978598614438
"ctrl3-1","trt511-2","69_2__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.973621412896544
"ctrl3-1","trt511-4","69_2__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.963780262958971
"ctrl3-1","trt512-2","69_2__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.973512881393661
"ctrl3-1","trt512-4","69_2__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.960821399389332
"ctrl3-1","trt52-1","69_2__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.988425798506976
"ctrl3-1","trt52-2","69_2__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.965602128050954
"ctrl3-2","trt31-1","68_3__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.976085794247448
"ctrl3-2","trt31-2","68_3__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.989595965422265
"ctrl3-2","trt311-3","68_3__batch1","68_3__batch2","control","psilocin_day3",FALSE,0.986330510140166
"ctrl3-2","trt312-3","68_3__batch1","68_3__batch2","control","psilocin_day3",FALSE,0.981382113366067
"ctrl3-2","trt32-1","68_3__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.974672316154193
"ctrl3-2","trt32-2","68_3__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.985098063814428
"ctrl3-2","trt33-1","68_3__batch1","69_2__batch1","control","psilocin_day3",FALSE,0.976057670368601
"ctrl3-2","trt33-2","68_3__batch1","68_3__batch1","control","psilocin_day3",FALSE,0.989834829124313
"ctrl3-2","trt51-3","68_3__batch1","68_3__batch2","control","psilocin_day1",FALSE,0.982591960289004
"ctrl3-2","trt511-2","68_3__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.988104944224587
"ctrl3-2","trt511-4","68_3__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.943631452387903
"ctrl3-2","trt512-2","68_3__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.986147414016757
"ctrl3-2","trt512-4","68_3__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.940251471092661
"ctrl3-2","trt52-1","68_3__batch1","69_2__batch1","control","psilocin_day1",FALSE,0.976446921943699
"ctrl3-2","trt52-2","68_3__batch1","68_3__batch1","control","psilocin_day1",FALSE,0.983802255360741
"trt31-1","trt31-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day3",FALSE,0.975548979257266
"trt31-1","trt311-3","69_2__batch1","68_3__batch2","psilocin_day3","psilocin_day3",FALSE,0.977095931428939
"trt31-1","trt312-3","69_2__batch1","68_3__batch2","psilocin_day3","psilocin_day3",FALSE,0.973733234564669
"trt31-1","trt32-1","69_2__batch1","69_2__batch1","psilocin_day3","psilocin_day3",TRUE,0.992634050369981
"trt31-1","trt32-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day3",FALSE,0.973601814183753
"trt31-1","trt33-1","69_2__batch1","69_2__batch1","psilocin_day3","psilocin_day3",TRUE,0.993126485941951
"trt31-1","trt33-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day3",FALSE,0.976717002543444
"trt31-1","trt51-3","69_2__batch1","68_3__batch2","psilocin_day3","psilocin_day1",FALSE,0.974782535246456
"trt31-1","trt511-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.975934984368596
"trt31-1","trt511-4","69_2__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.966490601743491
"trt31-1","trt512-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.975731096009316
"trt31-1","trt512-4","69_2__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.963524258799724
"trt31-1","trt52-1","69_2__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.991201821047116
"trt31-1","trt52-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.968629449355566
"trt31-2","trt311-3","68_3__batch1","68_3__batch2","psilocin_day3","psilocin_day3",FALSE,0.987455567065444
"trt31-2","trt312-3","68_3__batch1","68_3__batch2","psilocin_day3","psilocin_day3",FALSE,0.985711497346166
"trt31-2","trt32-1","68_3__batch1","69_2__batch1","psilocin_day3","psilocin_day3",FALSE,0.975114852228168
"trt31-2","trt32-2","68_3__batch1","68_3__batch1","psilocin_day3","psilocin_day3",TRUE,0.984976214060351
"trt31-2","trt33-1","68_3__batch1","69_2__batch1","psilocin_day3","psilocin_day3",FALSE,0.975665050364966
"trt31-2","trt33-2","68_3__batch1","68_3__batch1","psilocin_day3","psilocin_day3",TRUE,0.9874879998705
"trt31-2","trt51-3","68_3__batch1","68_3__batch2","psilocin_day3","psilocin_day1",FALSE,0.983035892160712
"trt31-2","trt511-2","68_3__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.988122777853156
"trt31-2","trt511-4","68_3__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.952864300389537
"trt31-2","trt512-2","68_3__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.987049101280825
"trt31-2","trt512-4","68_3__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.949716571119756
"trt31-2","trt52-1","68_3__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.975470462548346
"trt31-2","trt52-2","68_3__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.982704949700702
"trt311-3","trt312-3","68_3__batch2","68_3__batch2","psilocin_day3","psilocin_day3",TRUE,0.991431245295327
"trt311-3","trt32-1","68_3__batch2","69_2__batch1","psilocin_day3","psilocin_day3",FALSE,0.977041508526701
"trt311-3","trt32-2","68_3__batch2","68_3__batch1","psilocin_day3","psilocin_day3",FALSE,0.988568467207354
"trt311-3","trt33-1","68_3__batch2","69_2__batch1","psilocin_day3","psilocin_day3",FALSE,0.978543602573206
"trt311-3","trt33-2","68_3__batch2","68_3__batch1","psilocin_day3","psilocin_day3",FALSE,0.989230767773154
"trt311-3","trt51-3","68_3__batch2","68_3__batch2","psilocin_day3","psilocin_day1",FALSE,0.990372081437361
"trt311-3","trt511-2","68_3__batch2","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.988175995757753
"trt311-3","trt511-4","68_3__batch2","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.958892421681401
"trt311-3","trt512-2","68_3__batch2","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.989170284827927
"trt311-3","trt512-4","68_3__batch2","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.956259456746923
"trt311-3","trt52-1","68_3__batch2","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.975307889765862
"trt311-3","trt52-2","68_3__batch2","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.981760425775936
"trt312-3","trt32-1","68_3__batch2","69_2__batch1","psilocin_day3","psilocin_day3",FALSE,0.974444624310803
"trt312-3","trt32-2","68_3__batch2","68_3__batch1","psilocin_day3","psilocin_day3",FALSE,0.987647584304338
"trt312-3","trt33-1","68_3__batch2","69_2__batch1","psilocin_day3","psilocin_day3",FALSE,0.976495633615496
"trt312-3","trt33-2","68_3__batch2","68_3__batch1","psilocin_day3","psilocin_day3",FALSE,0.985307875374989
"trt312-3","trt51-3","68_3__batch2","68_3__batch2","psilocin_day3","psilocin_day1",FALSE,0.989732859127908
"trt312-3","trt511-2","68_3__batch2","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.984559797550591
"trt312-3","trt511-4","68_3__batch2","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.968718175800625
"trt312-3","trt512-2","68_3__batch2","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.987072746354978
"trt312-3","trt512-4","68_3__batch2","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.966637731006541
"trt312-3","trt52-1","68_3__batch2","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.971119858526908
"trt312-3","trt52-2","68_3__batch2","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.978376111565803
"trt32-1","trt32-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day3",FALSE,0.973420852111467
"trt32-1","trt33-1","69_2__batch1","69_2__batch1","psilocin_day3","psilocin_day3",TRUE,0.992754560350741
"trt32-1","trt33-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day3",FALSE,0.975989483369594
"trt32-1","trt51-3","69_2__batch1","68_3__batch2","psilocin_day3","psilocin_day1",FALSE,0.97508480958625
"trt32-1","trt511-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.97527323773904
"trt32-1","trt511-4","69_2__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.969013281498898
"trt32-1","trt512-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.975534136984323
"trt32-1","trt512-4","69_2__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.966298811821742
"trt32-1","trt52-1","69_2__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.990223553968404
"trt32-1","trt52-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.96725655829523
"trt32-2","trt33-1","68_3__batch1","69_2__batch1","psilocin_day3","psilocin_day3",FALSE,0.976389323994661
"trt32-2","trt33-2","68_3__batch1","68_3__batch1","psilocin_day3","psilocin_day3",TRUE,0.990382669299694
"trt32-2","trt51-3","68_3__batch1","68_3__batch2","psilocin_day3","psilocin_day1",FALSE,0.986425234219311
"trt32-2","trt511-2","68_3__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.985047697609014
"trt32-2","trt511-4","68_3__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.958606021846314
"trt32-2","trt512-2","68_3__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.986412589438606
"trt32-2","trt512-4","68_3__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.956089929789612
"trt32-2","trt52-1","68_3__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.971953437964592
"trt32-2","trt52-2","68_3__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.98745917006156
"trt33-1","trt33-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day3",FALSE,0.97788552069433
"trt33-1","trt51-3","69_2__batch1","68_3__batch2","psilocin_day3","psilocin_day1",FALSE,0.976528321643649
"trt33-1","trt511-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.975898052420085
"trt33-1","trt511-4","69_2__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.971613305584821
"trt33-1","trt512-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.976568204944586
"trt33-1","trt512-4","69_2__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.96900315376157
"trt33-1","trt52-1","69_2__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.990520734798205
"trt33-1","trt52-2","69_2__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.969968037543459
"trt33-2","trt51-3","68_3__batch1","68_3__batch2","psilocin_day3","psilocin_day1",FALSE,0.986230751382595
"trt33-2","trt511-2","68_3__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.987834105651736
"trt33-2","trt511-4","68_3__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.950835167791125
"trt33-2","trt512-2","68_3__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.987467878453149
"trt33-2","trt512-4","68_3__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.947858568031145
"trt33-2","trt52-1","68_3__batch1","69_2__batch1","psilocin_day3","psilocin_day1",FALSE,0.975927706293733
"trt33-2","trt52-2","68_3__batch1","68_3__batch1","psilocin_day3","psilocin_day1",FALSE,0.986144532128593
"trt51-3","trt511-2","68_3__batch2","68_3__batch1","psilocin_day1","psilocin_day1",FALSE,0.988550275868327
"trt51-3","trt511-4","68_3__batch2","69_2__batch1","psilocin_day1","psilocin_day1",FALSE,0.962552833206864
"trt51-3","trt512-2","68_3__batch2","68_3__batch1","psilocin_day1","psilocin_day1",FALSE,0.990354533823673
"trt51-3","trt512-4","68_3__batch2","69_2__batch1","psilocin_day1","psilocin_day1",FALSE,0.960140322419788
"trt51-3","trt52-1","68_3__batch2","69_2__batch1","psilocin_day1","psilocin_day1",FALSE,0.974111538200202
"trt51-3","trt52-2","68_3__batch2","68_3__batch1","psilocin_day1","psilocin_day1",FALSE,0.98045877377094
"trt511-2","trt511-4","68_3__batch1","69_2__batch1","psilocin_day1","psilocin_day1",FALSE,0.950684774768411
"trt511-2","trt512-2","68_3__batch1","68_3__batch1","psilocin_day1","psilocin_day1",TRUE,0.991540564261691
"trt511-2","trt512-4","68_3__batch1","69_2__batch1","psilocin_day1","psilocin_day1",FALSE,0.947559991494395
"trt511-2","trt52-1","68_3__batch1","69_2__batch1","psilocin_day1","psilocin_day1",FALSE,0.977986063373397
"trt511-2","trt52-2","68_3__batch1","68_3__batch1","psilocin_day1","psilocin_day1",TRUE,0.985661022429448
"trt511-4","trt512-2","69_2__batch1","68_3__batch1","psilocin_day1","psilocin_day1",FALSE,0.957224715128802
"trt511-4","trt512-4","69_2__batch1","69_2__batch1","psilocin_day1","psilocin_day1",TRUE,0.992600226898035
"trt511-4","trt52-1","69_2__batch1","69_2__batch1","psilocin_day1","psilocin_day1",TRUE,0.963451079882323
"trt511-4","trt52-2","69_2__batch1","68_3__batch1","psilocin_day1","psilocin_day1",FALSE,0.944605389968147
"trt512-2","trt512-4","68_3__batch1","69_2__batch1","psilocin_day1","psilocin_day1",FALSE,0.954343525075965
"trt512-2","trt52-1","68_3__batch1","69_2__batch1","psilocin_day1","psilocin_day1",FALSE,0.976694986011576
"trt512-2","trt52-2","68_3__batch1","68_3__batch1","psilocin_day1","psilocin_day1",TRUE,0.984309187285362
"trt512-4","trt52-1","69_2__batch1","69_2__batch1","psilocin_day1","psilocin_day1",TRUE,0.960257455249725
